Annotation_source,taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Animal_pathogen,Plant_pathogen,pathogen_type
gtdb_bac_meta-ssu_silva_taxonomy,Streptomyces sp. CLI2509,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. CLI2509,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Chania multitudinisentens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chania,Chania multitudinisentens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Gemmatimonas phototrophica,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,NA,NA,NA
microbe-directory,Rhodococcus phage REQ3,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Rhodococcus phage REQ3,1,NA,1
microbe-directory,Rhodococcus phage REQ2,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Rhodococcus phage REQ2,NA,NA,NA
microbe-directory,Rhodococcus phage REQ1,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Rhodococcus phage REQ1,0,0,NA
microbe-directory,Mycobacterium phage Wheeler,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage Wheeler,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Sulfuritalea hydrogenivorans,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,Sulfuritalea hydrogenivorans,NA,NA,NA
microbe-directory,Thermodesulfatator indicus,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator indicus,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Borreliella afzelii,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella afzelii,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Streptomyces sp. Go-475,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Go-475,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Rhizobium sp. 11515TR,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobium sp. 11515TR,NA,NA,NA
microbe-directory,Pyrobaculum arsenaticum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Kyrpidia spormannii,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,Kyrpidia spormannii,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Dokdonia sp. 4H-3-7-5,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp. 4H-3-7-5,NA,NA,NA
microbe-directory,Neisseria mucosa,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,0,0,NA
microbe-directory,Roseburia hominis,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia hominis,0,0,NA
microbe-directory,Helicobacter cinaedi,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cinaedi,1,NA,1
microbe-directory,Caldanaerobacter subterraneus,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Caldanaerobacter subterraneus,NA,NA,NA
microbe-directory,Acetobacterium woodii,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,0,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Planktothrix agardhii,Bacteria,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Planktothrix,Planktothrix agardhii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rhodococcus coprophilus,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus coprophilus,NA,NA,NA
microbe-directory,Acinetobacter ursingii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter ursingii,NA,NA,NA
microbe-directory,Planococcus halocryophilus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus halocryophilus,0,0,NA
microbe-directory,Borrelia crocidurae,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia crocidurae,NA,0,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Rivularia sp. PCC 7116,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Rivularia PCC-7116,Rivularia sp. PCC 7116,NA,NA,NA
microbe-directory,Bermanella marisrubri,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella,Bermanella marisrubri,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Spiroplasma alleghenense,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma alleghenense,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycolicibacterium confluentis,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium confluentis,NA,NA,NA
microbe-directory,Staphylothermus hellenicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Burkholderia sp. PAMC 26561,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Burkholderia sp. PAMC 26561,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Polynucleobacter duraquae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter duraquae,NA,NA,NA
microbe-directory,Thermococcus sibiricus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sibiricus,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas xanthomarina,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas xanthomarina,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Gloeomargarita lithophora,Bacteria,Cyanobacteria,,Gloeoemargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita lithophora,NA,NA,NA
microbe-directory,Corynebacterium nuruki,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium nuruki,0,0,NA
microbe-directory,Halomicrobium mukohataei,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrobium,Halomicrobium mukohataei,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Rathayibacter iranicus,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter iranicus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Cutibacterium avidum,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium avidum,NA,NA,NA
microbe-directory,Chloroflexus aurantiacus,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Lactobacillus fuchuensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Lactobacillus fuchuensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Coxiella mudrowiae,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Candidatus Coxiella mudrowiae,NA,NA,NA
microbe-directory,Hyperthermus butylicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas versuta,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas versuta,NA,NA,NA
microbe-directory,Cyanophage PP,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Cyanophage PP,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Hoyosella subflava,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Hoyosella,Hoyosella subflava,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Babela massiliensis,Bacteria,,Candidatus Babeliae,Candidatus Babeliales,Candidatus Babeliaceae,Candidatus Babela,Candidatus Babela massiliensis,NA,NA,NA
microbe-directory,Methanocaldococcus fervens,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Candidatus Izimaplasma sp. HR1,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmataceae,Izimaplasma,Candidatus Izimaplasma sp. HR1,NA,NA,NA
microbe-directory,Sphingobium japonicum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium japonicum,0,NA,NA
microbe-directory,Leishmania infantum,Eukaryota,Eukaryota noname,Eukaryota noname,Kinetoplastida,Trypanosomatidae,Leishmania,Leishmania infantum,0,0,NA
microbe-directory,Echinicola vietnamensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola vietnamensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Opitutus sp. GAS368,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Opitutus sp. GAS368,NA,NA,NA
microbe-directory,Agrobacterium vitis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium vitis,NA,1,2
gtdb_bac_meta-ncbi_taxonomy,Spiroplasma apis,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma apis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Spiroplasma eriocheiris,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma eriocheiris,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Mitsuaria sp. 7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Mitsuaria sp. 7,,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Planococcus maritimus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus maritimus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudarthrobacter phenanthrenivorans,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter phenanthrenivorans,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Thermococcus thioreducens,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus thioreducens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycobacteroides salmoniphilum,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides salmoniphilum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Bacillus weihaiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus weihaiensis,NA,NA,NA
microbe-directory,Zygosaccharomyces rouxii,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces rouxii,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Glaesserella parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella parasuis,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Klebsiella sp. LTGPAF-6F,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp. LTGPAF-6F,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Altererythrobacter dongtanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Altererythrobacter dongtanensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sphingopyxis sp. EG6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis sp. EG6,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Francisella halioticida,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella halioticida,NA,NA,NA
microbe-directory,Megavirus chiliensis,Viruses,Viruses noname,Viruses noname,Viruses noname,Mimiviridae,Mimiviridae noname,Megavirus chiliensis,1,1,3
gtdb_bac_meta-ssu_silva_taxonomy,Catenovulum sp. CCB-QB4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,uncultured,Catenovulum sp. CCB-QB4,NA,NA,NA
microbe-directory,Chlamydia pecorum,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pecorum,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Spiroplasma gladiatoris,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma gladiatoris,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Glutamicibacter arilaitensis,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter arilaitensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudoalteromonas nigrifaciens,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas nigrifaciens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycoplasma hyosynoviae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma hyosynoviae,NA,NA,NA
microbe-directory,Streptomyces viridosporus,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces viridosporus,NA,0,NA
gtdb_bac_meta-ncbi_taxonomy,[Clostridium] innocuum,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Komagataeibacter saccharivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,Komagataeibacter saccharivorans,NA,NA,NA
microbe-directory,Leuconostoc mesenteroides,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc mesenteroides,1,NA,1
gtdb_bac_meta-ncbi_taxonomy,Streptomyces fungicidicus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces fungicidicus,NA,NA,NA
microbe-directory,Staphylococcus xylosus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces qinzhouensis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces qinzhouensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Fibrella sp. ES10-3-2-2,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Spirosomaceae,Fibrella,Fibrella sp. ES10-3-2-2,NA,NA,NA
microbe-directory,Ignavibacterium album,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,Ignavibacterium album,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas taetrolens,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas taetrolens,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Candidatus Prometheoarchaeum syntrophicum,Archaea,Candidatus Lokiarchaeota,,,,Candidatus Prometheoarchaeum,Candidatus Prometheoarchaeum syntrophicum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Citrobacter amalonaticus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter amalonaticus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Kocuria indica,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,Kocuria indica,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudoalteromonas sp. A25,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. A25,NA,NA,NA
microbe-directory,Flexistipes sinusarabici,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,Flexistipes sinusarabici,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Chlamydia suis,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia suis,NA,NA,NA
microbe-directory,Pelobacter propionicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Pelobacter,Pelobacter propionicus,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pauljensenia hongkongensis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Pauljensenia,Pauljensenia hongkongensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Novosphingobium resinovorum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium resinovorum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Actinobacillus equuli,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus equuli,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Enterobacter soli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter soli,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Sneabacter namystus,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Sneabacter,Candidatus Sneabacter namystus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Flavobacterium sediminis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sediminis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Cupriavidus pauculus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus pauculus,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Anaeromyxobacter sp. K,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter sp. K,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Thioalkalivibrio paradoxus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio paradoxus,NA,NA,NA
microbe-directory,Archaeoglobus veneficus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus veneficus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces lydicus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lydicus,NA,NA,NA
microbe-directory,Methanoplanus limicola,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,Methanoplanus limicola,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas asplenii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas asplenii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas guangdongensis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas guangdongensis,NA,NA,NA
microbe-directory,Bartonella australis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella australis,NA,0,NA
gtdb_bac_meta-ssu_gg_taxonomy,Dolichospermum flos-aquae,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Dolichospermum,flos-aquae,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Exiguobacterium sp. AT1b,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,Exiguobacterium sp. AT1b,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corallococcus macrosporus,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus macrosporus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Acidithiobacillus ferridurans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferridurans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Halomonas campaniensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas campaniensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Campylobacter iguaniorum,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter iguaniorum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Acinetobacter dispersus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter dispersus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Amycolatopsis keratiniphila,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis keratiniphila,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Lactobacillus hokkaidonensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Lactobacillus hokkaidonensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycobacterium florentinum,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium florentinum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Ensifer alkalisoli,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,Ensifer alkalisoli,NA,NA,NA
microbe-directory,Acinetobacter towneri,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter towneri,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces spectabilis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces spectabilis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,[Pasteurella] aerogenes,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,[Pasteurella] aerogenes,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces coeruleorubidus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coeruleorubidus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Paenibacillus psychroresistens,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus psychroresistens,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Actinobacteria bacterium IMCC26256,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,Actinobacteria bacterium IMCC26256,,,NA,NA,NA
microbe-directory,Vibrio mimicus,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio mimicus,1,0,1
gtdb_bac_meta-ssu_silva_taxonomy,Sphingopyxis sp. 113P3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis sp. 113P3,NA,NA,NA
microbe-directory,Brevibacillus laterosporus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus,NA,NA,NA
microbe-directory,Adoxophyes orana nucleopolyhedrovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Adoxophyes orana nucleopolyhedrovirus,NA,1,2
gtdb_bac_meta-ncbi_taxonomy,Parasaccharibacter apium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Parasaccharibacter,Parasaccharibacter apium,NA,NA,NA
